,Star Name,Distance,Mass,Radius,Gravity
1,Sirius,0008.6,4.1769e+30,1189647000.0,196.971799550325
4,Arcturus,0037,2.1879e+30,18088200000.0,0.44629597278924754
7,Rigel,0860,4.574699999999999e+31,54890730000.00001,1.01332978543217
10,Achernar,0144,1.33263e+31,6470010000.000001,21.2464259657665
13,Acrux,0320,3.5801999999999996e+31,6191730000.0,62.326030883377484
16,Spica,0260,2.2734269999999998e+31,5196879000.0,56.18003500809
18,Fomalhaut,0025,3.7790999999999997e+30,1252260000.0,160.8368539423427
20,Mimosa,0350,3.1824e+31,5843880000.0,62.19255361895101
23,Shaula,0700,2.88405e+31,6122160000.000001,51.354633796020416
26,Bellatrix,0240,1.7105399999999998e+31,4035060000.0,70.11637302474244
28,Miaplacidus,0110,6.9615e+30,4730760000.0,20.759992757536956
30,Gamma Velorum,"01,100",1.7900999999999998e+31,4174200000.0,68.56729036489348
33,Alnitak,01050,6.5637e+31,13914000000.0,22.627205820414854
35,Mirfak,0590,1.6906499999999999e+31,47307600000.0,0.5041712526830403
37,Sargas,0270,1.13373e+31,18088200000.0,2.3126245862715553
39,Avior,0630,1.7900999999999998e+31,90441000000.0,0.14606050018557193
42,Atria,0390,1.3923e+31,64004400000.0,0.22682941046987445
44,Peacock,0180,1.17351e+31,3339360000.0,70.23385645015132
47,Polaris,0430,1.07406e+31,27132300000.0,0.973736667903813
49,Mintaka,01200,4.7736e+31,11479050000.0,24.17799770442525
51,Almaaz,0653,2.9835e+31,97398000000.0,0.20989986846395964
54,Delta Pavonis,019.92,1.9710989999999998e+30,848754000.0,182.61269753187165
57,Eta Carinae,"07,500",1.989e+32,612911700000.0,0.035336632665075154
59,Mu Cephei,"06,000",3.8188799999999997e+31,676220400000.0,0.005573726798954914
62,P Cygni,"05,545",5.967e+31,52873200000.0,1.4245281931764575
65,R Doradus,0178,1.989e+30,207318600000.0,0.0030884775624923874
67,R Coronae Borealis,"04,566",1.6906499999999997e+30,59134500000.0,0.032266960171714584
70,RW Cephei,"014,000",2.76471e+31,805620600000.0,0.0028429856016179986
74,II Pegasi,0130,1.5912e+30,2365380000.0,18.98056480689093
76,Pistol Star,"025,000",1.989e+32,222624000000.0,0.2678409779878652
78,UY Scuti,"05,100",1.989e+31,525253500000.0,0.004811528642771352
82,KIC 8462852,"01,470",2.84427e+30,1099206000.0,157.10819615734286
84,Melnick 42,"0163,000",3.75921e+32,14679270000.000002,116.4324060911917
86,VFTS 352,"0164,000",1.1432771999999998e+32,10066779000.0,75.29335961731135
87,YBP 1194,"02,772",2.00889e+30,688743000.0,282.6363157577489
91,WOH G64,"0163,000",4.9725e+31,1203561000000.0,0.002290998374983912
95,Icarus,"014,400,000,000",6.5637e+31,?,2595.841171196618
99,2MASS J00274197+0503417,236,6.165899999999999e+31,1001808000.0,4100.281638332751
103,2MASS 0036+1821,28.6,8.3538e+31,653958000.0,13036.786760187986
107,2MASS J00584253-0651239Â [de],96,5.7681e+31,994851000.0,3889.5817312962217
110,2MASSI J0117474-340325Â [de],163,3.978e+31,1127034000.0,2090.147549608093
113,SDSS J020742.48+000056.2Â [de],111,9.3483e+31,674829000.0,13700.340725475582
115,2MASS J02340093-6442068,155,3.978e+31,1127034000.0,2090.147549608093
118,LP 771-21,53,1.5514199999999999e+32,751356000.0,18341.044747811015
122,DEN 0255-4700,16.2,1.5912e+32,674829000.0,23319.728894426524
125,2MASS J03231002-4631237,192,4.574699999999999e+31,1154862000.0,2289.2258359595735
129,2MASS J03341218-4953322,27.0,1.4519699999999999e+32,723528000.0,18511.13978046311
132,Teide 1,380,1.09395e+32,2629746000.0,1055.7377929142917
136,2MASS J04285096-2253227Â [de],85,1.5912e+32,758313000.0,18467.749277641542
140,2MASS J04433764+0002040,82,4.3758e+31,1238346000.0,1904.4064992143121
144,2MASS J05012406-0010452Â [de],64,4.1769e+31,960065999.9999999,3024.392139598327
148,LSR 0602+3910Â [de],34.6,5.5692e+31,980937000.0,3862.751632648293
151,2MASS J06411840-4322329Â [de],65,1.3326299999999999e+32,702657000.0,18013.95335534894
155,2MASSI J0727182+171001Â [de],29.6,8.154899999999999e+31,653958000.0,12726.387075421604
159,2MASS J07522390+1612157,60,3.997889999999999e+30,47307600000.0,0.11922167269328364
163,LHS 2021,55,1.75032e+32,800054999.9999999,18250.04628237619
167,2MASS J08533619-0329321,27.6,1.53153e+32,744399000.0,18445.912684415405
171,2MASS J09490860-1545485Â [de],59,9.7461e+31,667872000.0,14582.453246005993
175,2MASSW J1036530-344138Â [de],53,9.7461e+31,674829000.0,14283.333947836245
179,Luhman 16A,6.516,7.956e+31,702657000.0,10754.59901811877
182,Cha 110913-773444,163,1.5912e+31,1252260000.0,677.2078060730221
185,TWA 26,137,5.967e+31,1530540000.0000002,1700.0154635924
188,2MASS J12074836-3900043,217,3.3812999999999997e+31,1189647000.0,1594.5336154073927
191,TWA 29,262,3.978e+30,17392500000.0,0.8776613166706366
195,2MASS J13204427+0409045,101,1.3326299999999999e+32,702657000.0,18013.95335534894
199,ULAS J141623.94+134836.3,29.7,6.3648e+31,667872000.0,9523.234772901873
202,LHS 2924,38.5,1.51164e+32,737442000.0,18551.491875158084
206,CFBDSIR 1458+10A,104,2.2077899999999997e+31,1043550000.0,1353.0611965338978
209,2MASS 1503+2525,20.7,8.7516e+31,653958000.0,13657.586129720748
213,TVLM 868-110639,53,1.5713099999999999e+32,751356000.0,18576.186347141924
217,2MASS J15462718-3325111Â [de],37,8.7516e+31,653958000.0,13657.586129720748
221,SDSSp J162414.37+002915.6Â [de],36,8.5527e+31,653958000.0,13347.186444954366
224,WISEPA J164715.59+563208.2,28,8.154899999999999e+31,653958000.0,12726.387075421604
228,2MASS J18283572-4849046,39,8.9505e+31,660915000.0,13675.470654493993
232,2MASS J20004841-7523070,105,4.9725e+31,1307916000.0,1939.9980297898792
236,PSO J318.5âˆ’22,80,1.2928499999999999e+31,1064421000.0,761.5658718814262
239,2MASS J21481628+4003593,26.3,1.09395e+32,688743000.0,15391.086501659593
243,2MASS J22282889-4310262,35,8.3538e+31,653958000.0,13036.786760187986
247,2MASS J23225299-6151275,148,3.3812999999999997e+31,1106163000.0,1844.300361857821
251,WISE 0458+6434A,35.9,2.9835e+31,2921940000.0,233.22207607106628
